mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:00,961]  Новость c заголовском(Шельф России: Нужно ли его осваивать?) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:01,028]  Новость c заголовском(Осмотр выставки территорий опережающего развития) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:01,103]  Новость c заголовском(Погружение в Дальний Восток. Новые возможности для бизнеса в сфере туризма) уже есть в БД
mai_scroll_trying.py[LINE:209]# INFO     [2019-09-15 21:29:01,103]  Цикл 5 Закончен
mai_scroll_trying.py[LINE:141]# INFO     [2019-09-15 21:29:03,312]  Старт цикла 6
mai_scroll_trying.py[LINE:69]# INFO     [2019-09-15 21:29:03,312]  Скроллим к след элементу
mai_scroll_trying.py[LINE:151]# INFO     [2019-09-15 21:29:09,886]  Список новостей успешно получен
mai_scroll_trying.py[LINE:154]# INFO     [2019-09-15 21:29:09,887]  Новых новостей нет
mai_scroll_trying.py[LINE:141]# INFO     [2019-09-15 21:29:24,922]  Старт цикла 7
mai_scroll_trying.py[LINE:69]# INFO     [2019-09-15 21:29:24,923]  Скроллим к след элементу
mai_scroll_trying.py[LINE:151]# INFO     [2019-09-15 21:29:33,807]  Список новостей успешно получен
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:33,874]  Новость c заголовском(VIII Международная конференция АТЭС по образованию) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:34,284]  Новость c заголовском(Заявления для прессы по итогам российско-индийских переговоров) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:34,350]  Новость c заголовском(Начало российско-индийских переговоров) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:34,419]  Новость c заголовском(Преференциальные режимы для инвесторов: Пройденный путь и новые вызовы) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:34,493]  Новость c заголовском(Российские регионы познакомят с возможностями циркулярной экономики Финляндии) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:34,565]  Новость c заголовском(Человеческий капитал для новой Евразии) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:34,868]  Новость c заголовском(FINOPOLIS 2019 обновил сайт) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:34,933]  Новость c заголовском(Россия — Китай) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:35,007]  Новость c заголовском(Культурные люди — реализация проектов по повышению интеллектуального и культурного уровня образования) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:35,075]  Новость c заголовском(Заседание президиума Госсовета) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:35,145]  Новость c заголовском(Добыча твердых полезных ископаемых: Как наиболее эффективно реализовать инвестиционный потенциал отрасли?) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:29:35,225]  Новость c заголовском(Россия выиграла у Японии матч по сумо на ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:209]# INFO     [2019-09-15 21:29:35,225]  Цикл 7 Закончен
mai_scroll_trying.py[LINE:141]# INFO     [2019-09-15 21:29:37,538]  Старт цикла 8
mai_scroll_trying.py[LINE:69]# INFO     [2019-09-15 21:29:37,539]  Скроллим к след элементу
mai_scroll_trying.py[LINE:76]# ERROR    [2019-09-15 21:29:43,158]  Обновляю страницу, запускаю повторный цикл
mai_scroll_trying.py[LINE:151]# INFO     [2019-09-15 21:29:46,710]  Список новостей успешно получен
mai_scroll_trying.py[LINE:209]# INFO     [2019-09-15 21:29:46,711]  Цикл 8 Закончен
mai_scroll_trying.py[LINE:141]# INFO     [2019-09-15 21:29:48,771]  Старт цикла 9
mai_scroll_trying.py[LINE:69]# INFO     [2019-09-15 21:29:48,771]  Скроллим к след элементу
mai_scroll_trying.py[LINE:151]# INFO     [2019-09-15 21:30:00,280]  Список новостей успешно получен
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:00,354]  Новость c заголовском(Юрий Трутнев провел ряд встреч с официальными лицами иностранных государств) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:00,509]  Новость c заголовском(Американский режиссер Марта Де Лаурентис расскажет об экономическом потенциале киноиндустрии на ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:00,610]  Новость c заголовском(Выставка «Улица Дальнего Востока» открылась в рамках ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:00,695]  Новость c заголовском(Определен состав участников турнира по ММА на ВЭФ-2019 с участием Александра Шлеменко) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:00,792]  Новость c заголовском(На пути к здоровому обществу Дальнего Востока) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,004]  Новость c заголовском(На ВЭФ-2019 прошел Второй российско-корейский форум межрегионального сотрудничества) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,082]  Новость c заголовском(Культурные люди — реализация проектов по повышению интеллектуального и культурного уровня образования) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,154]  Новость c заголовском(Заседание президиума Госсовета) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,230]  Новость c заголовском(Азиатское зеркало: Поворот на восток глазами азиатских партнеров) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,304]  Новость c заголовском(Инфраструктура будущего: Создавая новые центры притяжения на Дальнем Востоке) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,382]  Новость c заголовском(Международный аэропорт Владивосток готов к встрече участников ВЭФ) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,459]  Новость c заголовском(Уникальная картина Сандро Боттичелли выставлена на площадке ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,543]  Новость c заголовском(Росконгресс подготовил аналитические материалы по деловой повестке ВЭФ-2019) уже есть в БД
